id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,sum,sum_organic,sum_inorganic,sum_Phosphotransferase,sum_Transporters,sum_Two_component,occP_1_2,labP,orgP,secP_1_2,totP
SRR10028501,-0.507126789,1.807328496,-3.291419556,-2.354922639,0.871581706,0.363826513,-0.249676104,-14.93746134,-2.26680273,-1.459446866,-1.167834526,-6.247393587,-3.795983634,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028502,-0.359122643,1.796629391,-3.371637764,-2.450339807,0.974414831,0.23952311,-0.311707402,-8.973673495,-2.26680273,-1.433650033,-1.195742352,-1.771954108,-2.305524272,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028503,-0.395717503,1.84271048,-3.421945935,-2.366248408,0.976298771,0.266698836,-0.374346003,-11.0399481,-2.141925381,-1.45728094,-1.031819334,-3.586507598,-2.822414852,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028504,-0.472913409,1.676965988,-3.050365323,-2.567132547,0.941353841,0.254231499,-0.205996138,-11.41480562,-2.138712878,-1.248096502,-1.195742352,-5.346281086,-1.485972805,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028505,-0.439660479,1.766813178,-3.144096623,-2.765025412,0.89117399,0.245260369,-0.144030303,-10.78465666,-2.26680273,-2.096917292,-1.195742352,-3.631704012,-1.593490277,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028506,-0.440917719,1.856835469,-3.242285539,-2.675315101,0.900001325,0.291359806,-0.146803796,-13.70046254,-1.950990926,-1.932348205,-1.175326423,-5.577411789,-3.064385199,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028507,-0.403626838,1.957071265,-3.166732353,-3.301962726,-1.466051353,-0.151669228,-0.541142411,-5.627265278,-2.26680273,-0.087834988,-0.084400768,-0.817083974,-2.371142818,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028508,-0.317331949,2.019888017,-3.258337063,-3.300617705,-1.451797139,-0.197019552,-0.633155473,-13.29777013,-2.26680273,-1.698724976,-0.702889017,-6.331999582,-2.297353826,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10127268,-0.85066014,-0.56209574,-1.696805211,0.335160198,0.161722257,0.624167586,-0.000965425,8.557203766,0.212470107,1.284683697,0.071566991,5.842609551,1.14587342,2.767543781,1.394322655,2.777206855,3.300779668,2.24498625
SRR10127269,-0.589343744,-0.816132138,-1.565009715,-0.038618588,-0.437740427,0.239258028,-0.16864561,-7.678460814,-0.860856506,-0.725195744,-0.944710023,-2.904794256,-2.242904286,3.579558826,0.601055053,1.615573345,0.064544122,2.24498625
SRR10127270,-0.808542131,-0.342768193,-2.037136811,0.557061824,-0.252376772,0.403684971,-0.067081441,-4.882552575,-0.803156045,-0.37378078,-0.868441354,-1.118262302,-1.718912094,3.579558826,0.601055053,1.615573345,0.064544122,2.24498625
SRR10159347,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,-5.360309062,-2.109048962,-1.219762234,0.956640377,-2.792396148,-0.195742095,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159348,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,-2.977346166,-1.647386339,-1.205192008,0.88238067,0.023239282,-1.030387771,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159349,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,-2.09392529,-0.895982671,-1.151304932,1.194901315,-0.452717291,-0.788821711,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159350,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,1.118563533,-1.356187908,-1.639614521,2.349454525,0.882996184,0.881915253,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159351,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,4.469875708,-1.919641317,-1.105505514,3.183574662,4.498522934,-0.187075057,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159352,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,0.105385274,-0.939767655,-1.489654362,2.864097107,0.270488317,-0.599778134,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159353,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,-4.366757601,-1.74679767,-1.156125813,1.477646621,-2.5175168,-0.423963939,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159354,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,-6.950173673,-1.957046224,-1.714896528,1.065781395,-2.721189089,-1.622823226,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159355,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,-5.807667674,-2.02606049,-1.503868261,1.521727812,-2.235089324,-1.564377411,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
SRR10159356,1.073761906,0.501234759,-1.221275594,-1.928810583,0.374681453,0.612854256,0.338221401,-0.334290393,-1.579192118,1.82446458,-0.139138748,-0.560117742,0.119693635,2.412071877,0.426595851,1.526076621,2.342702558,0.981339073
