,lon,lat_weidu,BIOME_1_2,ABS_lat,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,soc_0.30_mean,GDP_per_capita_PPP2005,Human_development_index2005,Annual_mean_moisture_index_2,anthropogenic_biome_2,Aridity_index_2,CN30cm_1_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,nfertilizer_global_2,occP_1_2,totP,labP,orgP,pfertilizer_global_2,Potential_evapotranspiration_annual_2,secP_1_2,SMC30cm_1_2,SMN30cm_1_2,wc2.1_2.5m_elev_2,bdod_0_30cm_mean,cfvo_0_30cm_mean,clay_0_30cm_mean,ocd_0_30cm_mean,sand_0_30cm_mean,silt_0_30cm_mean,human_footprint_3,travel_time_to_cities_min,prec,srad,tavg,tmax,tmin,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters
SRR10028507,102.75075,-1.981972,106,1.981972,143.1820755,226.5726573,45.99292119,700.9819946,8137.249023,0.700737298,1.326075435,32,19239,16.89335632,48.50611877,10,1,0.19801195,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1495,27.64960861,90.34279633,5.347829819,75,113.7505595,127.900205,426.2637227,348.0676778,293.8475647,279.835968,10.83355808,237.1526337,237.7008394,16542.58333,25.91031345,29.57902861,22.24486494,-1.700842795,-0.214116818,-0.216956746,-0.29985389,-0.236814858,-0.733100483
SRR10028508,102.75225,-1.995139,106,1.995139,144.2765961,230.2080994,45.55794907,622.8161011,8137.249023,0.700737298,1.326075435,32,19184,16.89335632,48.50611877,13,1,0.199159235,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1501,27.64960861,90.34279633,5.347829819,75,110.8935725,108.9430415,441.8643188,355.4569244,289.2589722,269.037262,11,214.8666229,241.4072088,16542.58333,26.22739395,29.98982827,22.46615871,-1.617513179,-0.222050878,-0.22262692,-0.30222794,-0.242558098,-0.628049342
SRR10127265,-101.875,20.686,111,20.686,283.2866211,181.2352041,72.21159871,176.5347443,13306.87109,0.74142772,0.496052593,32,3565,4.528644085,35.15329742,18,1,0.754275739,26.81800079,NA,NA,NA,NA,3.786000013,1923,NA,136.0930023,30.0515995,1731,139.2976786,111.6592127,408.1162109,210.5410411,365.2294413,226.6955516,8.739303589,13.00941277,57.37560252,18487,18.89683247,27.32068125,10.47729472,1.678478275,0.238365406,0.599928976,0.71656694,0.94423784,-0.820620886
SRR10127268,-103.902,21.053,112,21.053,241.0619049,230.5663147,63.93967819,290.9283142,15909.96973,0.773350358,0.527894855,42,4042,5.90544796,12.94182301,18,3,0.202349469,14.06200027,327.5803528,867.7362061,62.89599228,215.2164307,1.901000023,2050,98.68887329,118.3440018,20.03980064,941,134.6023,203.6977437,294.2273966,247.2401072,477.9560547,227.7203522,8.451907158,62.01858521,70.40826869,18551.83333,24.66495482,33.1555953,16.1734194,-1.344266355,-0.31421149,-0.226698185,-0.290663283,-0.119746975,-0.392946423
SRR10127269,-100.439,21.195,112,21.195,248.9746552,157.2264786,64.55290349,211.82164,13306.87109,0.74142772,0.420112818,41,2426,6.670653343,66.50951385,14,2,0.40045476,11.14799976,382.2037048,867.7362061,45.57035446,162.5534668,1.675999999,1933,38.07688141,93.14900208,13.96399975,2246,135.2828318,108.7121836,280.6282043,213.7231089,478.2223816,240.9631399,7,29.54964638,39.00264549,18592,16.6370728,24.35745223,8.918567499,-0.290597751,-0.09278937,0.108657176,0.101619811,0.306660485,-0.714745853
SRR10127270,-100.163,21.766,112,21.766,230.5521698,233.3877055,66.6259079,430.249115,13718.33105,0.747606277,0.489057988,34,2718,7.299697399,3.906681299,14,3,0.143885806,3.950999975,382.2037048,867.7362061,45.57035446,162.5534668,0.653999984,1853,38.07688141,170.2180023,23.31850052,1573,124.8687363,160.035848,353.2533264,326.0282796,376.9625651,269.6981608,4,67.61575317,41.91995033,18243.75,19.61052076,26.54952224,12.66794491,-1.908275763,-0.372601207,-0.095288013,-0.349895308,-0.293724581,-0.796766654
SRR10159347,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159348,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159349,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159350,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159351,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159352,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159353,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159354,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
SRR10159355,116.93,28.21,103,28.21,97.23069255,78.40230815,49.53807195,108.4041672,8820.905273,0.703002393,1.075183868,21,13478,6.671097755,1292.712524,38,2,0.581914008,45.18299866,303.6681519,604.5,41.7600174,158.496109,8.706000328,1316,80.74488831,101.8830032,15.27229977,40,138.8909251,123.2686005,288.1633504,244.0532837,415.0305379,296.8437602,22.33833313,0.704882801,147.0396713,14669.91667,18.50974929,22.73015658,14.28912592,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793
