sort_id,GDP_per_capita_PPP2005,anthropogenic_biome_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,pfertilizer_global_2,human_footprint_3,rev_travel_time_to_cities_min,sum,sum_organic,sum_inorganic,sum_phosphotransferase,sum_transporters,sum_two_component,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters,travel_time_to_cities_min
SRR10028495,8137.249023,32,50.79838562,10,1,0.210425466,1.485000014,13.479249,-72.35436249,-15.50099466,-2.26680273,-2.016037795,-1.195742352,-6.657751059,-3.364660724,-1.530048327,-0.154075204,-0.263341235,-0.293287807,-0.234301013,-0.585043068,72.35436249
SRR10028496,8137.249023,32,48.50611877,10,1,0.200761497,1.213999987,11,-210.9796448,11.84119339,-1.82651976,1.53513785,3.637036442,9.229597962,-0.734059104,-1.672824546,-0.206536405,-0.216057996,-0.295285794,-0.232973261,-0.721971089,210.9796448
SRR10028497,8137.249023,52,50.79838943,7,1,0.204179585,1.485000014,2,-146.1584473,52.90743554,41.06551885,-0.876336764,-0.122192625,13.61131643,-0.770870347,-1.714449645,-0.433102498,-0.191013461,-0.259279385,0.09805227,-0.92910657,146.1584473
SRR10028498,8137.249023,51,50.79838943,4,1,0.198812887,1.485000014,2,-144.0758514,11.51760903,-0.943582427,-0.323618341,0.90540837,12.34576394,-0.466362519,-1.827896765,-0.423544468,-0.186252012,-0.26602944,0.081621733,-1.033692579,144.0758514
SRR10028499,8137.249023,34,50.79838943,4,1,0.204651818,1.485000014,2,-141.0461578,-0.099904915,-2.26680273,-1.40350105,-0.036840942,5.895940639,-2.288700832,-2.025811107,-0.376667808,-0.022556328,-0.254848903,-0.101649163,-1.270088905,141.0461578
SRR10028500,8137.249023,34,50.79838943,4,1,0.209144726,1.485000014,2.243607998,-138.7109528,20.41362227,-2.031847227,1.899142358,3.861987917,17.96723743,-1.28289821,-1.989795176,-0.36627398,-0.021051115,-0.246922323,-0.094600301,-1.260947456,138.7109528
SRR10028501,8137.249023,32,48.50611877,21,1,0.214310318,1.213999987,14.0422678,-99.59295654,-14.93746134,-2.26680273,-1.459446866,-1.167834526,-6.247393587,-3.795983634,-1.229986774,-0.173624138,-0.27712108,-0.294687777,-0.257845538,-0.226708241,99.59295654
SRR10028502,8137.249023,26,48.50612259,21,1,0.211706758,1.213999987,13.38399601,-88.20494843,-8.973673495,-2.26680273,-1.433650033,-1.195742352,-1.771954108,-2.305524272,-1.346400323,-0.175746816,-0.211500909,-0.297619161,-0.326182551,-0.335350886,88.20494843
SRR10028503,8137.249023,26,48.50611877,21,1,0.208801761,1.213999987,12.3694973,-85.12479401,-11.0399481,-2.141925381,-1.45728094,-1.031819334,-3.586507598,-2.822414852,-1.394011445,-0.199899561,-0.192921201,-0.299688103,-0.322714102,-0.378788479,85.12479401
SRR10028504,8137.249023,26,48.50611877,21,1,0.207383618,1.213999987,8.349362373,-88.15233612,-11.41480562,-2.138712878,-1.248096502,-1.195742352,-5.346281086,-1.485972805,-1.522471497,-0.284208233,-0.10377998,-0.287919546,-0.287717089,-0.55884665,88.15233612
SRR10028505,8137.249023,32,48.50611877,26,1,0.204351097,1.213999987,11,-119.6970215,-10.78465666,-2.26680273,-2.096917292,-1.195742352,-3.631704012,-1.593490277,-1.276665023,-0.271026328,-0.230477352,-0.309463725,-0.260165335,-0.205532283,119.6970215
SRR10028506,8137.249023,32,48.50611877,18,1,0.20537968,1.213999987,18.62620354,-106.6548691,-13.70046254,-1.950990926,-1.932348205,-1.175326423,-5.577411789,-3.064385199,-1.218526458,-0.076843219,-0.391364513,-0.32490887,-0.313340617,-0.112069239,106.6548691
SRR10028507,8137.249023,32,48.50611877,10,1,0.19801195,1.213999987,10.83355808,-237.1526337,-5.627265278,-2.26680273,-0.087834988,-0.084400768,-0.817083974,-2.371142818,-1.700842795,-0.214116818,-0.216956746,-0.29985389,-0.236814858,-0.733100483,237.1526337
SRR10028508,8137.249023,32,48.50611877,13,1,0.199159235,1.213999987,11,-214.8666229,-13.29777013,-2.26680273,-1.698724976,-0.702889017,-6.331999582,-2.297353826,-1.617513179,-0.222050878,-0.22262692,-0.30222794,-0.242558098,-0.628049342,214.8666229
SRR10127265,13306.87109,32,35.15329742,18,1,0.754275739,3.786000013,8.739303589,-13.00941277,4.220464701,1.617039744,0.652623049,-0.264010223,2.505411099,-0.290598968,1.678478275,0.238365406,0.599928976,0.71656694,0.94423784,-0.820620886,13.00941277
SRR10127268,15909.96973,42,12.94182301,18,3,0.202349469,1.901000023,8.451907158,-62.01858521,8.557203766,0.212470107,1.284683697,0.071566991,5.842609551,1.14587342,-1.344266355,-0.31421149,-0.226698185,-0.290663283,-0.119746975,-0.392946423,62.01858521
SRR10127269,13306.87109,41,66.50951385,14,2,0.40045476,1.675999999,7,-29.54964638,-7.678460814,-0.860856506,-0.725195744,-0.944710023,-2.904794256,-2.242904286,-0.290597751,-0.09278937,0.108657176,0.101619811,0.306660485,-0.714745853,29.54964638
SRR10127270,13718.33105,34,3.906681299,14,3,0.143885806,0.653999984,4,-67.61575317,-4.882552575,-0.803156045,-0.37378078,-0.868441354,-1.118262302,-1.718912094,-1.908275763,-0.372601207,-0.095288013,-0.349895308,-0.293724581,-0.796766654,67.61575317
SRR10159347,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,-5.360309062,-2.109048962,-1.219762234,0.956640377,-2.792396148,-0.195742095,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159348,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,-2.977346166,-1.647386339,-1.205192008,0.88238067,0.023239282,-1.030387771,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
